name,category,cost,price,stock,barcode
Textured Collar Half T-Shirt (M),T-Shirts,280.00,550.00,11,TCHT-M
Textured Collar Half T-Shirt (L),T-Shirts,280.00,550.00,5,TCHT-L
Textured Collar Half T-Shirt (XL),T-Shirts,280.00,550.00,3,TCHT-XL
Collar Printed Half T-Shirt (M),T-Shirts,280.00,530.00,2,CPHT-M
Collar Printed Half T-Shirt (L),T-Shirts,280.00,530.00,5,CPHT-L
Collar Printed Half T-Shirt (XL),T-Shirts,280.00,530.00,2,CPHT-XL
Basic Half T-Shirt (M),T-Shirts,250.00,430.00,6,BHT-M
Basic Half T-Shirt (L),T-Shirts,250.00,430.00,6,BHT-L
Basic Half T-Shirt (XL),T-Shirts,250.00,430.00,3,BHT-XL
Sando (M),Sando,250.00,450.00,3,SDO-M
Sando (L),Sando,250.00,450.00,4,SDO-L
Sando (XL),Sando,250.00,450.00,1,SDO-XL
Collar Sweat Half T-Shirt (M),T-Shirts,320.00,650.00,2,CSHT-M
Collar Sweat Half T-Shirt (L),T-Shirts,320.00,650.00,3,CSHT-L
Printed Oversize Half T-Shirt 0.2 (M),T-Shirts,320.00,580.00,3,POHT02-M
Printed Oversize Half T-Shirt 0.2 (L),T-Shirts,320.00,580.00,3,POHT02-L
Printed Oversize Half T-Shirt 0.1 (M),T-Shirts,280.00,530.00,2,POHT01-M
Printed Oversize Half T-Shirt 0.1 (L),T-Shirts,280.00,530.00,4,POHT01-L
Lining Half T-Shirt (M),T-Shirts,280.00,530.00,3,LHT-M
Lining Half T-Shirt (L),T-Shirts,280.00,530.00,4,LHT-L
Lining Half T-Shirt (XL),T-Shirts,280.00,530.00,5,LHT-XL
Diamond Collar Half T-Shirt (M),T-Shirts,320.00,650.00,2,DHT-M
